iter	Logloss
0	0.663168359611	0.634751749722	0.60924707093	0.5880515613
4	0.5682310224
55	0.55043590256	0.5333707642
7	0.5201675423
8	0.5074672529
9	0.4979692229
10	0.4883802639
11	0.4800364192
12	0.472620731
13	0.4658191962
14	0.4601154856
15	0.4546269702
16	0.4499852235
17	0.4448342542
18	0.4406515582
19	0.4374198307
20	0.433918255
21	0.4309280336
22	0.4281586884
23	0.4258085669
24	0.4236811553
25	0.4215589709
26	0.4196648077
27	0.4177594834
28	0.4162040841
29	0.4145562177
30	0.4129681815
31	0.4119393842
32	0.4104139511
33	0.4090779698
34	0.4075423159
35	0.4062029553
36	0.4047815909
37	0.4036163563
38	0.4025599639	39	0.401386044040	0.4003136034141	0.3994286694242	0.3985530814343	0.3976728474444	0.3969326184545	0.3961406354646	0.3953591124447	0.395429191448	0.3946021168449	0.3938031579550	0.3930820614551	0.3915785764552	0.3916211899553	0.3909930643554	0.390386435555	0.3897451395656	0.3889516169
57	0.3883050209
58	0.3875451849559	0.3868348588660	0.3860799124661	0.3855918168662	0.3849520745663	0.38434964	0664	0.38391565	0.65	0.38339466	0666	0.38271767	0.67	0.38210668	068	0.38144169	0.69	0.3809470	70	70	0.3803771	0.371	0.3797472	0.372	0.3791673	0.373	0.3787274	0.374	0.3781575	0.375	0.3777576	0.376	0.37727721
77	0.3766638661
78	0.3761905008
79	0.3757731588
80	0.3752292944
81	0.3746304822
82	0.3739430775
83	0.3735025084
84	0.3728478864
85	0.3723912805
86	0.3717985171887	0.3713188	0.888	0.3709089	0.889	0.3703729969090	0.3699802519191	0.3695298724
92	0.3691837393	93	0.3685530094	94	0.3681650695	95	0.36796	0.36496	0.3673161257
97	0.36698	0.36398	0.36699	0.36399	0.3656895026
100	0.3651086132
101	0.3647670244
102	0.3643453165
103	0.3639545759
104	0.3634336398
105	0.362981535
106	0.3625536224
107	0.3621271869
108	0.3614837193
109	0.3611196426
110	0.3606615796
111	0.3602515076
112	0.3599083381
113	0.3594170391
114	0.3591194134
115	0.3586159709
116	0.3582791561
117	0.3578288218
118	0.3574614216
119	0.3570148648
120	0.3564569397
121	0.356027004
122	0.3555575055
123	0.3549789543
124	0.3545329764
125	0.3541306731
126	0.353784219
127	0.3533445893
128	0.3529777001
129	0.352538113
130	0.3519354746
131	0.3515303192
132	0.351048746
133	0.35052802
134	0.3500519995
135	0.349649136	136	0.3492368137	137	0.3488171138	138	0.3482631139	139	0.3478185140	140	0.3475115141	141	0.3471831142	142	0.3467558143	143	0.3463229144	0.343191093
145	0145	0.345674146	0146	0.345168147	0147	0.344828148	0.3415744567
149	0.3411875812
150	0.3406467728
151	0.3402826422
152	0.3398244809
153	0.3394696521
154	0.339079262
155	0.3386735544
156	0.3382840495
157	0.337976072
158	0.3376481401
159	0.3372464321
160	0.3368677977
161	0.3364579774
162	0.3361982452
163	0.3357660836
164	0.3354374591
165	0.3350412926
166	0.3347265142
167	0.3342623159
168	0.3338009212
169	0.3333084333
170	0.3330326904
171	0.3325409431
172	0.3321241054
173	0.3317818752
174	0.331546103
175	0.3310964498
176	0.3307287331
177	0.3303293321
178	0.3298549829
179	0.3295409072
180	0.3292369719
181	0.329013501
182	0.3286281413
183	0.3283024836
184	0.3278853941
185	0.3275521034
186	0.3186	0.3300187	0.3187	0.3296188	0.188	0.32937189	0.189	0.32900190	0.190	0.32854191	0.191	0.32820192	0.192	0.32769193	0.193	0.32730194	0.194	0.3269195	0.3195	0.3263196	0.3196	0.3261197	0.3197	0.3257198	0.3198	0.3253199	0.3199	0.3247200	0.3200	0.3242201	0.3201	0.3238202	0.3202	0.3235203	0.3203	0.3231204	0.3204	0.3228205	0.3205	0.3226206	0.3206	0.3220207	0.3189794541
208	0.3185135322
209	0.318021448
210	0.3176874511
211	0.3173042379
212	0.3167107321
213	0.3162462663
214	0.3159439551
215	0.3155362927
216	0.3151151179
217	0.3146634179
218	0.3141552338
219	0.3138127074
220	0.3132640501
221	0.3129284462
222	0.312598932
223	0.3120933783
224	0.3117998003
225	0.3114166646
226	0.310976735
227	0.3105477888
228	0.3101503676
229	0.3098212404
230	0.30951629
231	0.309145743
232	0.3089040395
233	0.3084988354
234	0.308140094
235	0.3076824839
236	0.3073571135
237	0.3068791614
238	0.3065055938
239	0.30619759
240	0.3058296268
241	0.3053881006
242	0.3050532683
243	0.3045476856
244	0.3041116336
245	0.3037638925
246	0.3034080964
247	0.3030100517
248	0.3027066454
249	0.3022156018
250	0.3017453161
251	0.3012998698
252	0.3009510693
253	0.3006126547
254	0.3001501329
255	0.2998011774
256	0.2994541403
257	0.2991333712
258	0.2987930209
259	0.2983841913
260	0.298111328
261	0.2975394731
262	0.2972922039
263	0.2967853063
264	0.2963794488
265	0.2961347399
266	0.2957423444
267	0.2953520622
268	0.2949119912
269	0.2943900196
270	0.294101516
271	0.2937803703
272	0.293360577
273	0.2929548399
274	0.2925991893
275	0.2921556008
276	0.2918309681
277	0.291545962
278	0.2912185013
279	0.2909328712
280	0.290607639
281	0.2901862086
282	0.2899441715
283	0.2897227611
284	0.28920059
285	0.2887716148
286	0.2882980462
287	0.288040501
288	0.2877113651
289	0.2873828086
290	0.2870903117
291	0.2868308123
292	0.2864093498
293	0.2861161545
294	0.2857744306
295	0.2854255266
296	0.2851156752
297	0.2846949763
298	0.2843204975
299	0.2839215163
300	0.2835429293
301	0.2831304756
302	0.2828513946
303	0.282441709
304	0.2820159923
305	0.2816007468
306	0.2814094805
307	0.2810026461
308	0.2806246746
309	0.2802791372
310	0.2798600841
311	0.2794344867
312	0.2791433136
313	0.2787448915
314	0.2784202711
315	0.2781768421
316	0.2778589873
317	0.2775687058
318	0.2772877209
319	0.2769738201
320	0.276636295
321	0.2762999639
322	0.2759073323
323	0.27563267
324	0.2751559076
325	0.2748517797
326	0.2746349524
327	0.274228
328	0.2739381158
329	0.2734716598
330	0.2730965673
331	0.2727098183
332	0.2722805665
333	0.271879288
334	0.2714547694
335	0.271149074
336	0.2709438139
337	0.2707353782
338	0.2703185631
339	0.2699748164
340	0.269553017
341	0.2691866676
342	0.2687525735
343	0.268506826
344	0.2681032375
345	0.2678862168
346	0.2675062573
347	0.2672210368
348	0.2670191491
349	0.2667748165
350	0.2664044468
351	0.2660752496
352	0.2657327361
353	0.2654370496
354	0.265256874
355	0.2649271636
356	0.2646178651
357	0.2643814686
358	0.2640885143
359	0.2638322311
360	0.2634621592
361	0.2631943507
362	0.2628537914
363	0.2624540925
364	0.2622596525
365	0.2619418015
366	0.2617657609
367	0.261535318
368	0.2613372712
369	0.2610639433
370	0.2606211421
371	0.2603305655
372	0.2600458769
373	0.2598544129
374	0.2595522374	375	0.2591000281
376	0.2588559687
377	0.2585964994
378	0.258304378	0379	0.257883379	0380	0.257468380	381	0.2570255381	382	0.2566942382	383	0.2563847383	384	0.2560104384	385	0.2557029385	386	0.2553386386	387	0.2549517387	388	0.2546711388	389	0.2542505389	390	0.2539489277
391	0.2535942233
392	0.2533890908
393	0.2530762661
394	0.2529180721
395	0.252538621
396	0.2523141264
397	0.2520099687
398	0.2518593957
399	0.2515993552
400	0.2514593763
401	0.2511181278
402	0.2508069558
403	0.2505009689
404	0.250205888
405	0.2500449859
406	0.2497802013
407	0.2494450036
408	0.2491069781
409	0.2488564937
410	0.2486607256
411	0.2483812709
412	0.2481298488
413	0.2477708246
414	0.2475521799
415	0.2473969814
416	0.2471672574
417	0.2469254166
418	0.2465139933
419	0.2460858836
420	0.2458706299
421	0.2456901836
422	0.2454106102
423	0.2451757968
424	0.2448306406
425	0.2445034057
426	0.2442106712
427	0.2440622998
428	0.2438587873
429	0.2435724489
430	0.2431304432
431	0.2429128049
432	0.2426226133
433	0.2422832412
434	0.2420450479
435	0.2418258238
436	0.2414795473
437	0.2412605685
438	0.2409428286
439	0.2406914678
440	0.2404975199
441	0.2402835478
442	0.2398796632
443	0.239596626
444	0.2392323956
445	0.2388961935
446	0.2385624531
447	0.2382825889
448	0.2380226604
449	0.2378412948
450	0.2376439258
451	0.2373696497
452	0.2369949931
453	0.2367005218
454	0.236401405
455	0.2361327562
456	0.2359229758
457	0.2356922966
458	0.2354361169
459	0.2351595074
460	0.2348765132
461	0.234637465
462	0.2343216135
463	0.2340775174
464	0.2338225951
465	0.23367615
466	0.2333585844
467	0.2331029641
468	0.2328360889
469	0.2326450814
470	0.232378977
471	0.2321442228
472	0.2318479817
473	0.2315012588
474	0.2311489682
475	0.2309636158
476	0.2307081057
477	0.2303862058
478	0.2302645011
479	0.2300414303
480	0.2296895341
481	0.2294349587
482	0.2292602469
483	0.2289683403
484	0.228666329
485	0.2283431484
486	0.2281489082
487	0.2279334594
488	0.2276848693
489	0.2274734463
490	0.2271537024
491	0.2268466059
492	0.2265367926
493	0.2262750769
494	0.2260380532
495	0.2258299819
496	0.2255560581
497	0.2252920918
498	0.2250856472
499	0.2247748131
287336938
7205833
